county,state,season,title,latitude,longitude,date,number,classification,geohash,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,precip_type,pressure,summary,uv_index,visibility,wind_bearing,wind_speed
Polk County,Oregon,Fall,Report 548: Motorist observes bipedal creature crossing highway,45.06215,-123.7027,10/30/2000,548,Class A,c2003566n1,58.77,48.33,37.89,41.76,0.88,0,0.12,,,rain,1019.83,Light precipitation in the morning.,3,9.16,318,0.35
Polk County,Oregon,Summer,"Report 3064: Bowhunter finds twisted trees, tracks, scat, & unusual sounds",45.07072,-123.6664,9/1/2001,3064,Class B,c2003uugup,73.53,60.035,46.54,54.61,0.71,0.74,0.46,,,rain,1014.73,Mostly cloudy throughout the day.,4,,229,4.39
Polk County,Oregon,Summer,Report 6734: Family members encounter footprint,45.0487,-123.5792,7/24/2003,6734,Class B,c2007bu7ey,81.23,65.725,50.22,48.07,0.58,0,0.85,0,0,,1015.92,Clear throughout the day.,9,10,344,3.61
Polk County,Oregon,Winter,Report 7537: Sasquatch crosses road in Coast Range in front of car,45.0608,-123.694,12/8/2003,7537,Class A,c200370f0v,47.04,44.665,42.29,42.33,0.95,0.78,0.49,0.0004,0.31,rain,1021.65,Foggy in the morning.,1,6.72,97,2.01
Polk County,Oregon,Fall,,,,,25907,Class B,,,,,,,,,,,,,,,,,
Tillamook County,Oregon,Summer,Report 13653: Dusk sighting by a US Forest Service Law Enforcement Officer on the beach south of Tillamook,45.145,-123.972,8/14/1995,13653,Class A,c0pbffqkej,,,,,,,,,,,,,,,,
Tillamook County,Oregon,Summer,Report 2102: Two hikers have early morning sighting near Tillamook,45.75449,-123.866,9/13/1997,2102,Class A,c0pum37e1p,68.98,63.4,57.82,53.2,0.85,0.49,0.39,0.0061,1,rain,1006.44,Rain starting in the evening.,6,8.75,103,3.5
Tillamook County,Oregon,Fall,Report 702: Group of people witness two Sasquatch run through a clearing,45.59669,-123.3768,11/10/1997,702,Class A,c2072kxgbp,55.25,44.46,33.67,37.73,0.7,0.49,0.36,,,rain,,Partly cloudy throughout the day.,2,10,58,10.13
Tillamook County,Oregon,Summer,Report 690: Close-range observation lasting roughly 1.5 hours,45.5891,-123.5469,8/2/1998,690,Class A,c205ke5zu8,86.07,68.96,51.85,55.31,0.73,0.02,0.32,,,rain,1021.79,Partly cloudy in the morning.,9,,327,1.4
Tillamook County,Oregon,Summer,"Report 102: Couple hears unknown howl, later finds possible deformed track",45.7351,-123.466,8/19/2000,102,Class B,c20hnmyf38,57.98,47.115,36.25,48.62,0.97,0.77,0.65,0.0178,1,rain,1020.65,Rain in the morning and afternoon.,5,9.54,302,0.56
Tillamook County,Oregon,Summer,Report 36280: Campers hear knocks and unknown vocalizations at night in Tillamook State Forest,45.61308,-123.3973,8/18/2012,36280,Class B,c2072p8g6w,71.1,62.425,53.75,57.58,0.92,0.14,0.04,0,0,,1013.93,Mostly cloudy until afternoon.,6,10,333,0.35
Tillamook County,Oregon,Summer,,,,,41704,Class A,,,,,,,,,,,,,,,,,
Tillamook County,Oregon,Summer,Report 45813: Camper hears strange knocking and screams in Tillamook Forest,45.59864,-123.6113,7/9/2014,45813,Class B,c2057huzrf,75.07,63.06,51.05,52.12,0.7,0.24,0.4,0,0,,1017.76,Mostly cloudy in the morning.,10,9.62,332,4.24
Umatilla County,Oregon,Fall,,,,,695,Class B,,,,,,,,,,,,,,,,,
Umatilla County,Oregon,Summer,Report 1635: Travelers watch tan-brown 5-6 foot hairy creature drink from stream with cupped hands,45.5,-118.42,6/15/1976,1635,Class A,c25fc710wn,69.78,58.375,46.97,40.01,0.62,0.54,0.63,0,0,,1013.77,Mostly cloudy throughout the day.,9,8.65,285,4.3
Umatilla County,Oregon,Summer,Report 7124: Boy Scout sees part of retreating sasquatch,45.9957,-118.1253,6/30/1976,7124,Class A,c25vxvrb35,72.76,59.25,45.74,46.04,0.6,0.8,0.11,,,rain,1011.43,Mostly cloudy throughout the day.,9,10,213,9.07
Umatilla County,Oregon,Winter,Report 10095: Large truck halts in front of sasquatch on I-84,45.5789,-118.6016,12/15/1985,10095,Class A,c25em1kuq6,25.84,17.67,9.5,12.21,0.87,0.36,0.14,0,0,,1034.13,Partly cloudy throughout the day.,1,4.44,135,1.83
Umatilla County,Oregon,Summer,Report 694: Family sees stooped-over creature walking along forest line,45.3233,-118.2742,7/15/1991,694,Class A,c25cudg777,69.47,56.96,44.45,40.64,0.59,0,0.15,,,rain,,Clear throughout the day.,10,6,345,1.37
Umatilla County,Oregon,Summer,,,,,692,Class A,,,,,,,,,,,,,,,,,
Umatilla County,Oregon,Summer,Report 15746: Native American woman recalls childhood sighting on family property near Cayuse,45.6605,-118.5654,9/15/1994,15746,Class A,c25evbpr9y,76.66,59.895,43.13,42.5,0.5,0.09,0.37,0,0,,1022.93,Clear throughout the day.,6,10,8,0.25
Umatilla County,Oregon,Fall,,,,,693,Class B,,,,,,,,,,,,,,,,,
Umatilla County,Oregon,Fall,Report 31488: Woman describes possible encounter while elk hunting near Pilot Rock,45.48318,-118.83,10/15/1998,31488,Class B,c256xzywsr,51.72,41.885,32.05,35.12,0.69,0.61,0.86,0.0012,0.4,rain,1015.79,Mostly cloudy until evening.,3,9.77,244,6.42
Umatilla County,Oregon,Fall,Report 980: Elk hunter spots reddish-brown sasquatch,45.84175,-117.991,3/5/2001,980,Class A,c2hhg11xd3,40.44,30.105,19.77,31.04,1,0.54,0.36,,,snow,1019.24,Overcast in the morning.,4,8.01,172,3.05
Umatilla County,Oregon,Spring,Report 1065: Brothers see sasquatch watching them,45.99215,-118.0811,3/20/2001,1065,Class A,c2hj8uxgwy,50.3,38.79,27.28,29.98,0.72,0,0.87,,,rain,1023.02,Clear throughout the day.,5,10,134,3.22
Umatilla County,Oregon,Fall,Report 5505: Rural Oregon resident sees a bigfoot look into the window,45.46571,-118.875,12/17/2002,5505,Class A,c256wuvbgw,44.44,35.95,27.46,27.44,0.75,0.26,0.43,0.0006,1,snow,1003.76,"Mostly cloudy starting in the afternoon, continuing until evening.",1,9.63,158,3.48
Umatilla County,Oregon,Winter,Report 5650: Driver has early evening road sighting on Interstate 84 southeast of Pendleton,45.58982,-118.6131,10/5/2004,5650,Class B,c25ekgkefq,77.39,64.73,52.07,32.35,0.38,0,0.73,0,0,,1017.48,Clear throughout the day.,4,9.64,143,0.5
Umatilla County,Oregon,Summer,Report 15747: Native family along the Umatilla River reports possible encounters,45.6764,-118.5658,7/15/2005,15747,Class B,c25evgph2d,94.79,80.475,66.16,45.9,0.33,0,0.29,0,0,,1011.62,Clear throughout the day.,9,10,289,1.7
Umatilla County,Oregon,Winter,"Report 57323: Memory of hearing the ""Umatilla Screamer"" on Indian Reservation",45.66721,-118.7056,11/7/2012,57323,Class B,c25efc3nz0,53.8,42.355,30.91,36.69,0.66,0.32,0.78,0.0029,1,rain,1016.8,Light rain in the morning.,2,9.96,240,4.37
Union County,Oregon,Summer,Report 58004: Archery hunter recalls daytime sighting on Mt. Emily,45.43806,-118.0883,8/24/1982,58004,Class A,c2h42zdxzh,75.38,53.87,32.36,35.7,0.69,0,0.2,,,rain,,Clear throughout the day.,8,6,1,0.64
Union County,Oregon,Fall,,,,,696,Class B,,,,,,,,,,,,,,,,,
Union County,Oregon,Spring,"Report 10934: Young family on afternoon outing find footprints east of Pendleton, Oregon",45.80374,-118.0603,4/30/1996,10934,Class B,c2hh96r45e,54.92,46.09,37.26,32.9,0.68,0.49,0.4,,,rain,,Partly cloudy throughout the day.,8,9.5,201,4.6
Wallowa County,Oregon,Summer,,,,,697,Class A,,,,,,,,,,,,,,,,,
Wallowa County,Oregon,Summer,Report 24371: Young male hiker experiences strange events and finds possible tracks at a campground in the Blue Mountains,45.91665,-117.925,2/11/2009,24371,Class B,c2hjhwceu7,25.06,21.215,17.37,21.22,1,1,0.58,0.0021,0.57,snow,1019.59,Snow (< 1 in.) in the morning and afternoon.,2,5.59,216,1.04
Wasco County,Oregon,Unknown,Report 9785: Repeated encounters by Native American family,44.8464,-121.1537,6/15/1983,9785,Class A,9rcz5h494n,,,,,,,,,,,,,,,,
Wasco County,Oregon,Fall,,,,,699,Class A,,,,,,,,,,,,,,,,,
Wasco County,Oregon,Winter,,,,,698,Class A,,,,,,,,,,,,,,,,,
Wasco County,Oregon,Fall,Report 26718: Late night road crossing sighting by hunters near the eastern boundary of Mt. Hood National Forest,45.8417,-121.7084,10/5/2009,26718,Class A,c21ky3nxk8,58.01,45.525,33.04,33.17,0.65,0.13,0.55,0,0,,1019.62,Clear throughout the day.,4,10,92,0.26
Wasco County,Oregon,Summer,Report 57962: Camper's nighttime howl has possible knock response in Mt. Hood National Forest.,45.24006,-121.6794,7/26/2017,57962,Class B,c213r5ey2q,73.81,62.04,50.27,50,0.64,0,0.12,0,0,,,Clear throughout the day.,10,9.42,285,1.94
Wasco County,Oregon,Summer,Report 58165: Evening archery hunters hear possible whoops for 15 minutes in Mt. Hood National Forest,45.33935,-121.3226,9/1/2017,58165,Class B,c219zjz8fe,90.09,76.04,61.99,41.72,0.36,0,0.35,0,0,,1015.87,Clear throughout the day.,7,9.59,31,0.15
Washington County,Oregon,Summer,Report 191: Daytime sighting by motorists along Hwy 6 near Glenwood,45.63606,-123.3471,7/31/1984,191,Class A,c20795v3k6,76.8,63.305,49.81,55.73,0.76,0.38,0.12,,,rain,,Partly cloudy throughout the day and breezy in the evening.,8,10,318,4.7
Washington County,Oregon,Summer,,,,,701,Class B,,,,,,,,,,,,,,,,,
Washington County,Oregon,Fall,Report 7148: Hunters find bower and footprints near lake,45.4915,-123.2665,9/15/1993,7148,Class B,c206g12p4q,67.41,54.37,41.33,48.3,0.72,0.7,0.98,,,rain,,Mostly cloudy until evening.,4,9.87,346,2.1
Washington County,Oregon,Fall,Report 1829: Motorist witnesses two-legged man-like creature in field just off Hillsboro highway,45.48204,-122.9903,10/15/2000,1829,Class A,c20d9rc0n6,57.19,53.49,49.79,43.69,0.88,0.61,0.58,0.0006,0.73,rain,1019.22,Light precipitation overnight.,2,6.17,98,0.43
Washington County,Oregon,Fall,Report 3209: Track find by BFRO field researcher,45.76569,-123.3601,10/14/2001,3209,Class B,c20k2g7umq,59.32,46.82,34.32,49.26,0.92,0.73,0.93,,,rain,1020.81,Drizzle in the morning.,3,9.36,212,0.33
Atoka County,Oklahoma,Fall,Report 13348: Night time sighting truck driver near Clear Boggy Creek,34.25,-96.21,10/12/2004,13348,Class A,9y5dfen08w,74.09,63.815,53.54,51.04,0.7,0.46,0.95,0.0092,1,rain,,Mostly cloudy in the morning.,6,10,307,5.51
Caddo County,Oklahoma,Fall,Report 3042: Daylight sighting from interstate highway.,35.50556,-98.575,10/3/1999,3042,Class A,9y3cuzefuh,,,,,,,,,,,,,,,,
Caddo County,Oklahoma,Summer,"Report 3964: Wooded, rural, lake house scene of late night encounter",35.10278,-98.34056,4/29/2002,3964,Class A,9y4pdnq8db,74.92,66.825,58.73,59.5,0.85,,0.6,,,rain,,Clear throughout the day.,0,9.87,70,4.16
Caddo County,Oklahoma,Summer,Report 6513: Daylight road crossing sighting by motorist in Cogar,35.33389,-98.13028,6/13/2003,6513,Class A,9y61nbrdyd,84.27,75.825,67.38,67.3,0.83,0.26,0.47,0.0176,1,rain,1009.31,Rain in the morning.,11,10,97,2.61
Caddo County,Oklahoma,Spring,Report 35188: Possible daytime sighting behind a home outside Anadarko,35.08344,-98.24586,4/26/2012,35188,Class B,9y4ps6exce,82.31,75.105,67.9,66.83,0.79,0.27,0.17,0,0,,,Mostly cloudy until evening.,10,9.73,95,6.83
Cherokee County,Oklahoma,Fall,Report 40280: Memory told of a possible encounter that ends a camping trip early near Park Hill,35.50285,-94.77699,10/1/1982,40280,Class B,9yk9gr1e04,85.58,72.08,58.58,56.43,0.65,0.06,0.45,0,0,,1016.93,Partly cloudy in the afternoon.,6,8.54,98,3.64
Cherokee County,Oklahoma,Summer,"Report 2041: August 1 1990 Oklahoma, Cherokee County, near Eldon",35.92806,-94.83,3/26/2001,2041,Class A,9yks6hdbhg,47.85,41.54,35.23,15.34,0.44,0.1,0.05,,,rain,,Mostly cloudy starting in the evening.,8,10,22,4.85
Cleveland County,Oklahoma,Winter,Report 7473: Family finds tracks and has close visual encounter.,35.27639,-97.33528,11/29/2003,7473,Class A,9y6b9jfege,63.56,52.415,41.27,18.85,0.36,0.03,0.21,0,0,,1020.97,Breezy until afternoon.,3,10,193,15.14
Linn County,Oregon,Summer,Report 6027: Heavy steps around tent in dark scare backpackers,44.6335,-121.8165,8/15/1970,6027,Class B,9rcmgvrbvz,,,,,,,,,,,,,,,,
Lincoln County,Oregon,Summer,Report 1224: Possible movement and footsteps heard by women waiting in stranded vehicle,44.96651,-123.7718,7/15/2000,1224,Class B,9pzzz9bhuj,55.05,46.01,36.97,44.19,0.97,0,0.48,,,rain,1020.76,Windy in the afternoon.,10,9.66,342,11.85
Lane County,Oregon,Spring,"Report 4595: Late night sighting by family along Hwy 126, near McKenzie Bridge",44.23861,-122.0505,3/19/1977,4595,Class A,9rc5wtms94,,,,,,,,,,,,,,,,
Lake County,Oregon,Fall,,,,,684,Class B,,,,,,,,,,,,,,,,,
Klamath County,Oregon,Fall,,,,,681,Class B,,,,,,,,,,,,,,,,,
Jefferson County,Oregon,Summer,,,,,676,Class B,,,,,,,,,,,,,,,,,
Hood River County,Oregon,Summer,Report 5816: Nighttime encounter by a worker at a logging site,45.2075,-121.886,8/23/1968,5816,Class B,c2134mv2f2,,,,,,,,,,,,,,,,
Harney County,Oregon,Fall,,,,,669,Class B,,,,,,,,,,,,,,,,,
Grant County,Oregon,Fall,Report 7562: Hunter briefly observes a stationary upright animal before it runs away,44.825,-118.415,11/15/1973,7562,Class A,9rgz12hud9,40.16,38.645,37.13,36.85,0.93,1,0.69,,,rain,1010.42,Breezy and overcast throughout the day.,2,10,151,14.47
Deschutes County,Oregon,Summer,Report 7785: Family in small boat hears animal retreating and finds prints,43.8628,-121.8829,7/15/1963,7785,Class B,9rc3d2zx6d,,,,,,,,,,,,,,,,
Curry County,Oregon,Summer,,,,,661,Class B,,,,,,,,,,,,,,,,,
Crook County,Oregon,Fall,Report 10034: Hunter hears wood-on-wood knocking,44.0639,-120.2782,11/4/1989,10034,Class B,9rf6xj84ff,,,,,,,,,,,,,,,,
Coos County,Oregon,Fall,"Report 8745: One audible and two visual, early evening encounters by a coastal witness near the North Fork of the Coquille River",43.2547,-124.0598,8/15/1949,8745,Class A,9pxy0fq2vh,64.8,61.285,57.77,53.87,0.84,0.48,0.71,0,0,,1018.3,Mostly cloudy starting in the afternoon.,8,10,246,3.46
Columbia County,Oregon,Fall,Report 7957: Two hunters hear repeated loud screams.,45.82565,-123.296,11/9/2003,7957,Class B,c20kdq69fb,53.74,46.55,39.36,39.7,0.86,0.42,0.52,0.0038,0.73,rain,1013.94,Mostly cloudy starting in the evening.,2,9.61,262,0.52
Columbia County,Oregon,Summer,"Report 9204: While scouting, hunter hears morning vocalization west of Scappoose",45.7492,-122.9546,8/6/2004,9204,Class B,c20s607hqj,69.42,63.23,57.04,55.38,0.79,0.72,0.71,0.0053,0.92,rain,1014.22,Rain in the morning.,4,9.48,192,2.62
Columbia County,Oregon,Summer,Report 59632: Woman watches a sasquatch walk from her bathroom window near Vernonia,45.85606,-123.1691,6/24/2018,59632,Class A,c20kv5yfzv,84.26,69.445,54.63,53.18,0.68,0.03,0.4,0,0,,1013.58,Mostly cloudy overnight.,9,10,312,2.02
Coos County,Oregon,Fall,,,,,25531,Class A,,,,,,,,,,,,,,,,,
Coos County,Oregon,Winter,Report 1031: Large Bipedal Animal Seen Crossing Rural Road and Climbing Cutbank,40.1,-124.2,2/15/1980,1031,Class A,9ppsjgbr6j,,,,,,,,,,,,,,,,
Coos County,Oregon,Fall,Report 3297: Daytime sightings by hunters near Headwaters Ridge in Elliot State Forest,43.54165,-123.875,11/14/1995,3297,Class A,9pxztnsbrr,56.43,53.11,49.79,50.11,1,0.78,0.73,,,rain,1015.89,Foggy in the morning.,2,4.66,207,2.97
Coos County,Oregon,Summer,,,,,660,Class A,,,,,,,,,,,,,,,,,
Coos County,Oregon,Summer,Report 9276: Several tracks found near County dump for Bandon,43.1786,-124.3688,8/21/2004,9276,Class B,9pxt9ummsf,60.99,58.18,55.37,54.89,0.94,0.83,0.19,0,0,,1013.63,Foggy in the morning.,8,7.15,152,0.24
Coos County,Oregon,Fall,Report 42352: Early evening close encounter near Bandon by mushroom hunters leaving the forest,43,-124.43,10/29/2004,42352,Class A,9pxs8ebv4u,57.39,54.21,51.03,47.67,0.85,0.55,0.56,,,rain,1023.16,Overcast starting in the evening.,3,8.91,178,3.91
Curry County,Oregon,Fall,Report 13729: Logging crew has daytime sighting.,42.28445,-124.2148,11/15/1974,13729,Class A,9px8t3tsc2,,,,,,,,,,,,,,,,
Curry County,Oregon,Fall,Report 7954: Boater finds footprints on bank of Rogue River,42.6425,-124.0255,9/15/1975,7954,Class B,9pxf9dz6s6,,,,,,,,,,,,,,,,
Curry County,Oregon,Summer,,,,,662,Class A,,,,,,,,,,,,,,,,,
Curry County,Oregon,Fall,Report 1720: Two sets of bigfoot trackways at Cape Blanco Beach on southern Oregon coast,42.82,-124.53,8/14/1986,1720,Class A,9px7w70h8d,,,,,,,,,,,,,,,,
Curry County,Oregon,Winter,Report 11449: Beach visitors find large footprints.,42.4018,-124.426,2/25/1994,11449,Class B,9px90x5b2h,,,,,,,,,,,,,,,,
Curry County,Oregon,Winter,"Report 2841: Two hikers both hear strange sounds in a creek culvert, investigate to see two ape-like creatures sitting at far end of culvert",42.07,-124.3,3/17/2001,2841,Class A,9prx76xe80,51.04,49.91,48.78,45.78,0.95,1,0.78,,,rain,1021.95,Light rain in the morning and evening.,3,,173,7.16
Curry County,Oregon,Spring,Report 2900: Evening beach walker with dog observes two huge upright dark hunched ape-man figures swinging arms and walking long strides one behind the other along nearby hillslope,42.08,-124.3,6/4/2001,2900,Class A,9prx7krtb0,55.52,52.095,48.67,46.01,0.91,0.37,0.46,,,rain,1015.36,Light precipitation overnight.,9,,328,1.22
Curry County,Oregon,Summer,,,,,36671,Class A,,,,,,,,,,,,,,,,,
Deschutes County,Oregon,Spring,Report 7658: Hiker encounters large footprints,44.1263,-121.3338,5/15/1976,7658,Class B,9rcenbzqmd,74.46,54.49,34.52,21.55,0.34,0.01,0.57,,,rain,1020.25,Clear throughout the day.,10,10,336,2.18
Deschutes County,Oregon,Summer,Report 37044: Memory told of a daylight sighting while fishing a creek near Crescent Lake Junction,43.48257,-121.9104,8/15/1978,37044,Class A,9r9r3gg83f,,,,,,,,,,,,,,,,
Deschutes County,Oregon,Summer,,,,,667,Class A,,,,,,,,,,,,,,,,,
Deschutes County,Oregon,Fall,Report 7298: Two fishermen encounter an unknown biped along a creek,43.5705,-121.8955,8/15/1980,7298,Class A,9r9rf5y2sc,,,,,,,,,,,,,,,,
Deschutes County,Oregon,Summer,,,,,666,Class B,,,,,,,,,,,,,,,,,
Deschutes County,Oregon,Summer,Report 7967: Boaters on the Deschutes hear loud scream from bank,43.7151,-121.6347,7/15/1990,7967,Class B,9rc88nh6fj,,,,,,,,,,,,,,,,
Deschutes County,Oregon,Spring,Report 7263: Boy sees large biped crossing road behind school  bus,44.2157,-121.4755,4/15/1994,7263,Class A,9rceec0ppe,78.34,57.81,37.28,24.96,0.37,0,0.15,,,rain,,Clear throughout the day.,8,10,91,1.19
Deschutes County,Oregon,Summer,Report 412: Cousins followed for a quarter mile,43.94225,-121.3815,7/5/1995,412,Class B,9rc9vzkwnj,81.27,64.795,48.32,39.68,0.5,0.06,0.25,,,rain,,Partly cloudy overnight.,10,10,347,3.4
Deschutes County,Oregon,Summer,,,,,663,Class B,,,,,,,,,,,,,,,,,
Deschutes County,Oregon,Fall,,,,,665,Class B,,,,,,,,,,,,,,,,,
Deschutes County,Oregon,Fall,,,,,664,Class A,,,,,,,,,,,,,,,,,
Deschutes County,Oregon,Spring,Report 11886: Tracks found south of the Warm Springs Reservation        (REPORT UPDATED),44.56625,-121.6384,7/9/2005,11886,Class A,9rct81195z,66.81,59.495,52.18,47.65,0.7,,0.1,0.0001,0.06,rain,,Clear throughout the day.,0,,268,0.92
Deschutes County,Oregon,Summer,Report 36384: Possible track way found in Hosmer Lake near Bend,43.97603,-121.7828,9/1/2012,36384,Class B,9rc6hv86zn,70.28,51.37,32.46,33.94,0.59,0,0.55,0,0,,,Clear throughout the day.,8,10,316,0.56
Deschutes County,Oregon,Winter,Report 43491: Possible daylight road crossing on Cascade Lakes Hwy. near Bend,43.98136,-121.4705,11/15/2013,43491,Class B,9rcd5yecup,38.38,35.39,32.4,23.82,0.77,0.26,0.45,0,0,,1012.08,Mostly cloudy starting in the afternoon.,2,9.91,229,2.59
Douglas County,Oregon,Summer,Report 12021: Boy encounters animal near Lemolo Lake,43.31815,-122.1954,7/15/1956,12021,Class A,9r9n7mu48b,,,,,,,,,,,,,,,,
Douglas County,Oregon,Winter,Report 25764: Hunter recalls finding fresh tracks in snow outside of Glide,43.40867,-122.8887,11/15/1970,25764,Class B,9r8wgw71vd,,,,,,,,,,,,,,,,
Douglas County,Oregon,Summer,Report 22570: Family hears loud whooping for three consecutive nights near Drain.,43.6744,-123.2675,7/1/1977,22570,Class B,9rb26yxmg4,78.12,,,54.15,0.52,0.56,0.53,,,rain,1015.1,Partly cloudy throughout the day.,7,10,340,8.43
Douglas County,Oregon,Summer,Report 96: Young camper frightened by large hand gathering berries,43.7827,-123.9599,6/25/1978,96,Class B,9pzc54rhsy,64.53,58.59,52.65,52.14,0.82,0.83,0.68,,,rain,1023.07,Mostly cloudy throughout the day.,5,9.35,227,0.6
Douglas County,Oregon,Fall,Report 2274: Late night up-close encounter in the Umpqua Nat'l Forest,43.20335,-122.3759,9/1/1980,2274,Class B,9r8vz2btfb,,,,,,,,,,,,,,,,
Douglas County,Oregon,Fall,Report 3295: Afternoon sighting in hills between Oakland and Sutherlin,43.225,-123.175,9/5/1980,3295,Class A,9r8mvhfeyk,,,,,,,,,,,,,,,,
Douglas County,Oregon,Fall,Report 553: Morning sighting by brothers near Yoncalla,44.55505,-123.3604,10/4/1980,553,Class A,9rbm2ygxyr,81.77,64.22,46.67,48.37,0.75,0.19,0.87,0,0,,1016.49,Foggy in the morning.,4,8.03,328,0.67
Douglas County,Oregon,Summer,Report 3387: Vocalizations heard in Lookingglass,43.16815,-123.4911,7/1/1989,3387,Class B,9r8jtfs88y,68.91,,,48.05,0.62,0.96,0.95,,,rain,,Overcast throughout the day.,5,10,46,0.3
Douglas County,Oregon,Summer,,,,,668,Class B,,,,,,,,,,,,,,,,,
Douglas County,Oregon,Fall,Report 9393: Driver has early morning encounter near Rice Hill,43.5251,-123.311,10/15/1991,9393,Class A,9r8r9gx8j6,92.12,,,42.53,0.48,0,0.25,,,rain,,Clear throughout the day.,4,10,309,1.38
Douglas County,Oregon,Summer,Report 22996: Girl describes close encounter on family property in the Lookingglass / Roseburg area,43.2073,-123.5585,8/20/2002,22996,Class A,9r8ju3eky2,70.26,59.845,49.43,48.47,0.66,0.6,0.43,,,rain,1017.11,Mostly cloudy until evening.,6,10,329,2.39
Douglas County,Oregon,Winter,"Report 8227: Driver stops, approaches bigfoot on foot",43.3029,-123.1611,10/15/2002,8227,Class A,9r8qm7hcdm,82.68,63.58,44.48,32.29,0.32,0,0.33,,,rain,1015.16,Clear throughout the day.,4,9.91,11,0.5
Douglas County,Oregon,Summer,Report 9248: Hunter hears morning vocalization and has evening sighting north of Diamond Lake,43.3622,-122.1814,8/28/2004,9248,Class A,9r9nety5p5,73.08,58.885,44.69,47.65,0.77,,0.45,0,0,,,Clear throughout the day.,0,,294,0.9
Douglas County,Oregon,Fall,Report 9534: Campers hear several types of early morning vocalizations near Diamond Lake,43.296,-122.5541,9/28/2004,9534,Class B,9r8y71yc6r,83.33,70.43,57.53,48.06,0.54,,0.51,0,0,,,Clear throughout the day.,0,,290,0.88
Douglas County,Oregon,Fall,Report 25533: Two men mushroom picking find large footprint and snapped tree near Elkton,43.61538,-123.5036,11/15/2006,25533,Class B,9rb0jegqj8,53.11,48.01,42.91,42.16,0.82,0.54,0.84,0.031,1,rain,1011.35,Rain starting in the afternoon.,2,6.82,177,5.37
Grant County,Oregon,Summer,Report 1318: Early evening sighting in Canyon City,44.39104,-118.9491,8/25/1976,1318,Class A,9rgkt1put1,,,,,,,,,,,,,,,,
Grant County,Oregon,Summer,Report 10324: Campers and their dogs are frightened by vocalizations,44.7751,-118.7717,7/4/1997,10324,Class B,9rgw9r11fg,,,,,,,,,,,,,,,,
Grant County,Oregon,Summer,Report 7687: Lone camper hears vocalization,44.5385,-118.5908,8/15/2003,7687,Class B,9rgtm7uzd4,89.98,69.725,49.47,33.11,0.24,,0.62,0,0,,,Partly cloudy until afternoon.,7,,230,0.57
Grant County,Oregon,Fall,Report 9604: Campers have several visual encounters,44.9723,-118.3692,9/15/2004,9604,Class A,9rgzf6ynts,53.21,44,34.79,42.59,0.91,0.79,0.04,0.0007,0.64,rain,1013.89,Mostly cloudy throughout the day.,4,9.91,213,1.39
Harney County,Oregon,Summer,Report 6584: Vocalization heard in Call Meadow area,43.85975,-118.8215,7/2/2003,6584,Class B,9rg980kvd3,72.81,57.545,42.28,32.51,0.42,0.02,0.1,0,0,,1013.66,Clear throughout the day.,11,10,269,2.33
Hood River County,Oregon,Fall,Report 3050: Graceful creature ran by man when he was 15,45.3725,-121.5835,10/14/1970,3050,Class A,c21d17c9gp,,,,,,,,,,,,,,,,
Hood River County,Oregon,Fall,Report 1446: Deer hunters find footprints near Wahtum Lake.,45.5666,-121.7745,10/1/1974,1446,Class B,c217hzns8m,73.32,58.52,43.72,40.72,0.75,0.49,0.51,,,rain,1015.99,Mostly cloudy until evening.,3,8.83,263,1.18
Hood River County,Oregon,Fall,,,,,671,Class A,,,,,,,,,,,,,,,,,
Hood River County,Oregon,Summer,Report 8680: Boys hear moaning call from bedroom window,45.5775,-121.6444,7/27/1980,8680,Class B,c217rcjk0j,95.53,,,58.63,0.51,0,0.49,,,rain,1012.82,Clear throughout the day.,9,10,299,7.28
Hood River County,Oregon,Summer,,,,,672,Class A,,,,,,,,,,,,,,,,,
Hood River County,Oregon,Summer,,,,,670,Class A,,,,,,,,,,,,,,,,,
Hood River County,Oregon,Summer,Report 4604: Daytime sighting by young camper at Lost Lake,45.49805,-121.8214,7/1/1994,4604,Class B,c216gfsm7e,52.62,,,50.61,1,1,0.78,,,rain,,Overcast throughout the day.,5,9,103,2
Hood River County,Oregon,Fall,"Report 5242: Bow hunter has sighting near Little Boulder Lk. Mt. Hood Nat. Forest, OR",45.25725,-121.5684,9/15/1996,5242,Class B,c2193wuddf,,,,,,,,,,,,,,,,
Hood River County,Oregon,Summer,"Report 9109: Couple has fleeting, afternoon encounter near Barlow Pass",45.274,-121.6796,9/8/2001,9109,Class A,c213x1gs5v,,,,,,,,,,,,,,,,
Hood River County,Oregon,Fall,"Report 5100: Hiker sees, attempts to photograph a sasquatch in the Columbia Gorge",45.63923,-121.8735,9/24/2002,5100,Class A,c217dsq7v9,74.08,56.585,39.09,44.48,0.63,0,0.6,,,rain,1014.03,Clear throughout the day.,5,9.96,254,0.33
Hood River County,Oregon,Winter,Report 22742: Hikers hear possible vocalizations near Cascade Locks along the Columbia River,45.38736,-121.5134,5/23/2008,22742,Class B,c21d4ys8s9,40.72,39.795,38.87,37.76,1,0.95,0.61,0.0112,1,rain,1003.91,Rain in the morning.,5,9.66,292,1.19
Jackson County,Oregon,Fall,Report 3820: Sasquatch evidence near Mount McLoughlin,42.4356,-122.2328,10/1/1979,3820,Class B,9r916t0v33,,,,,,,,,,,,,,,,
